"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"mu3[4]",-0.792971521014997,0.0042179378997119,0.231025973382817,-1.25271038720213,-0.943753423302053,-0.790597636097396,-0.642513774557301,-0.345589707315833,3000,1.00031416661575
"mu3[5]",-1.63253120614703,0.00466825470502276,0.255690840612059,-2.1787036435755,-1.78684522468555,-1.61669281141017,-1.45709232023651,-1.17546498184091,3000,0.999122864467099
"mu3[6]",-0.458195795578167,0.00476329582484228,0.260896457133629,-0.960379054672209,-0.636741292884332,-0.467742003925602,-0.291976186865008,0.0842996662984427,3000,1.00124562080294
"mu3[7]",-1.41695784141105,0.00452643728029583,0.247923180355036,-1.9411229642194,-1.57116544925071,-1.40843275548802,-1.24534290598363,-0.94922972575362,3000,1.00057564275175
"mu3[8]",-0.161942276259526,0.00296552532434402,0.162428511499604,-0.562589480412335,-0.241560798360561,-0.139129408569723,-0.0542465961776752,0.0905185655627415,3000,0.999284267481236
"mu3[9]",-0.369339636382245,0.0053956632642331,0.191560650160016,-0.861656618333439,-0.43929789309242,-0.339713811357171,-0.253853543981447,-0.089489701184349,1260.44218089413,1.00111878185195
"mu3[10]",-1.18642535937509,0.0037013624618762,0.202731971387245,-1.63957687314406,-1.30415527501236,-1.17960395391838,-1.05094086889309,-0.81263739355346,3000,1.0006707227909
"mu3[11]",-0.20851984408241,0.00332095258452493,0.181896064294938,-0.611668743546171,-0.318138530823717,-0.187169277229912,-0.0778937290032803,0.0840278602450535,3000,0.999812982409881
"mu3[12]",-0.326086138509278,0.00288896907567652,0.158235353068288,-0.681724516401171,-0.420278921681874,-0.307353601095492,-0.215403335686918,-0.0627509326463631,3000,0.999911113677345
"mu3[13]",0.00319423354243705,0.00402324075254867,0.152631207869619,-0.361597325754304,-0.0727889754502205,0.0202353273578857,0.10209270965253,0.250853017219236,1439.24469958915,1.00205357809341
"mu3[14]",-0.113207202372129,0.00288180570457048,0.157842999074032,-0.474855343213547,-0.204486073705091,-0.0960848058951471,-0.00642887214347325,0.146606787110936,3000,0.999710728898173
"mu3[15]",-0.240530460855847,0.00285506342766261,0.156378264243883,-0.595506125505993,-0.328892653916959,-0.222133265485334,-0.130578968351507,0.0193565501795519,3000,0.999621243447797
"mu3[16]",-0.390625183627347,0.00381156703880052,0.208768124659421,-0.875526499027696,-0.508601185981307,-0.363780911343282,-0.240329677484142,-0.0653093938637414,3000,0.999663893135611
"mu3[17]",0.0846809785062495,0.00393115609322304,0.215318286933214,-0.360578949854546,-0.048572713234612,0.101237487311241,0.238372134541642,0.453937795262287,3000,1.00025158617997
"mu3[18]",-1.28770114584296,0.00505223912150639,0.276722533275913,-1.88012379940752,-1.45187310390314,-1.27653041324641,-1.11082323833442,-0.779886279658935,3000,1.00035209786936
"mu3[19]",-0.0887153087020962,0.00408828569762297,0.159141476840481,-0.482803757672786,-0.163375675088641,-0.0652331314976282,0.0101215628865228,0.164168467024202,1515.25000082082,0.999596249939706
"mu3[20]",-1.14778034697318,0.00403196683439394,0.220839918631026,-1.59405670709674,-1.28953971564678,-1.13645406575507,-0.990940129737456,-0.75032203571541,3000,1.00077867368881
