"sp","DE","GF","LL","LMA","Aarea","Rarea","LMAp","LMAs","preLL","Narea","Parea","gr"
"Eleagnus angustifolia","U","T",3.01995172040202,81.2830516164099,14.1253754462275,1.90546071796325,65.4171636664595,15.8658879499504,3.40910705395267,3.20626932450547,NA,"Unclassified"
"Embothrium coccineum","E","T",7.07945784384138,102.329299228075,14.1253754462275,1.58489319246111,64.8779296364796,37.4513695915954,7.55796770189924,1.6274484622563,NA,"Evergreen"
"Eremaea pauciflora","E","S",14.1253754462275,199.526231496888,14.1253754462275,1.77827941003892,116.881009004702,82.6452224921856,15.3831457528991,2.30144181740851,NA,"Evergreen"
"Eremophila deserti","E","S",28.8403150312661,218.776162394955,9.1201083935591,1.25892541179417,62.601930352422,156.174232042533,28.3241313447316,3.47536161443206,0.194088587759278,"Evergreen"
"Eremophila glabra","E","S",16.6134701060524,158.531335813571,13.5791284152681,1.8047157535978,79.7248517304034,78.8064840831676,15.0195117152552,2.80590962335656,0.189573660582562,"Evergreen"
"Eremophila mitchelli","E","S",14.1253754462275,177.827941003892,9.1201083935591,1.86208713666287,92.1041974332873,85.7237435706047,15.962722431924,3.33426412763235,0.168267406107047,"Evergreen"
"Eriostemon australasius","E","S",12.0226443461741,147.910838816821,10,1.25892541179417,69.1607994988215,78.7500393179995,14.8591721506107,1.75792361395869,0.0528445251775181,"Evergreen"
"Erythronium americanum","U","H",1.90546071796325,44.6683592150963,12.0226443461741,2.34422881531992,35.8093073495149,8.85905186558142,2.03780262449923,1.89234361864498,NA,"Unclassified"
"Eucalyptus dumosa","E","T",29.5120922666639,301.995172040202,13.4896288259165,1.28824955169313,116.081576827672,185.91359521253,32.5753957173175,2.74157417192788,0.148251808514595,"Evergreen"
"Eucalyptus haemostoma","E","T",18.6208713666287,199.526231496888,12.0226443461741,1.17489755493953,81.6415996353203,117.884631861568,21.5672309451362,2.08449088309729,0.0679203632617185,"Evergreen"
"Eucalyptus intertexta","E","T",15.8489319246111,181.970085860998,18.1970085860998,1.25892541179417,93.1686195714564,88.8014662895416,16.6552800814557,2.65460556197554,0.18578044550917,"Evergreen"
"Eucalyptus paniculata","E","T",13.1825673855641,120.226443461741,9.1201083935591,0.794328234724281,35.3623766208071,84.8640668409339,16.2833851730951,1.29717927098396,0.0574116462207327,"Evergreen"
"Eucalyptus socialis","E","T",28.8403150312661,281.838293126445,16.2181009735893,1.51356124843621,122.344771509998,159.493521616447,28.3536882653031,3.47536161443206,0.173780082874938,"Evergreen"
"Eucalyptus umbra","E","T",24.5470891568503,204.173794466953,8.51138038202377,1.12201845430196,53.8307309601702,150.343063506783,27.3245268431857,1.87499450806742,0.0803526122185617,"Evergreen"
"Eucryphia cordifolia","E","T",30.3998818265947,133.360981057403,10.6100922715098,0.742096450506415,25.9060130819172,107.454967975486,20.494187086673,1.19871936221319,NA,"Evergreen"
